endTime	artistName	trackName	msPlayed	id	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	uri	track_href	analysis_url	duration_ms	time_signature
2020-04-20 20:05	Fall Out Boy	I've Got All This Ringing In My Ears And None On My Fingers	246533	1CRVvwUopaV42bAEvoh194	0.583	0.922	11.0	-3.843	1.0	0.0387	0.0192	3.19e-05	0.614	0.4	101.98899999999999	audio_features	spotify:track:1CRVvwUopaV42bAEvoh194	https://api.spotify.com/v1/tracks/1CRVvwUopaV42bAEvoh194	https://api.spotify.com/v1/audio-analysis/1CRVvwUopaV42bAEvoh194	246533.0	4.0
2020-04-20 20:05	Fall Out Boy	My Songs Know What You Did In The Dark (Light Em Up) - Commentary	7905	5blRMrvo9dIAs6nKS0Z6V4	0.7120000000000001	0.39299999999999996	0.0	-16.658	1.0	0.374	0.713	0.0	0.18899999999999997	0.5379999999999999	127.68	audio_features	spotify:track:5blRMrvo9dIAs6nKS0Z6V4	https://api.spotify.com/v1/tracks/5blRMrvo9dIAs6nKS0Z6V4	https://api.spotify.com/v1/audio-analysis/5blRMrvo9dIAs6nKS0Z6V4	58400.0	5.0
2020-04-20 20:09	Fall Out Boy	My Heart Is the Worst Kind of Weapon	202066	4MRZrheMhzghVTPXl199bN	0.8029999999999999	0.396	0.0	-7.667000000000001	1.0	0.0402	0.314	0.0	0.23399999999999999	0.6709999999999999	119.969	audio_features	spotify:track:4MRZrheMhzghVTPXl199bN	https://api.spotify.com/v1/tracks/4MRZrheMhzghVTPXl199bN	https://api.spotify.com/v1/audio-analysis/4MRZrheMhzghVTPXl199bN	202067.0	4.0
2020-04-20 20:26	This Providence	The World Is a Stage, but the Play Is Badly Cast	3754	4Zgi0nbgCi7S9Jqs4oZgXE	0.469	0.57	8.0	-4.628	1.0	0.0306	0.09	0.0	0.174	0.391	78.908	audio_features	spotify:track:4Zgi0nbgCi7S9Jqs4oZgXE	https://api.spotify.com/v1/tracks/4Zgi0nbgCi7S9Jqs4oZgXE	https://api.spotify.com/v1/audio-analysis/4Zgi0nbgCi7S9Jqs4oZgXE	80933.0	3.0
2020-04-20 20:26	Fall Out Boy	It's Not a Side Effect of the Cocaine, I Am Thinking It Must Be Love	82520	4BK2hCEYwRPEyaydTMnGxQ	0.64	0.446	4.0	-6.546	1.0	0.0326	0.731	0.0	0.0996	0.6609999999999999	154.112	audio_features	spotify:track:4BK2hCEYwRPEyaydTMnGxQ	https://api.spotify.com/v1/tracks/4BK2hCEYwRPEyaydTMnGxQ	https://api.spotify.com/v1/audio-analysis/4BK2hCEYwRPEyaydTMnGxQ	131067.0	4.0
2020-04-20 20:27	Sugarcult	Do It Alone	2986	7617XYtHZvlJPEwWsx4QoX	0.423	0.917	1.0	-4.1339999999999995	1.0	0.04	2.35e-05	4.35e-05	0.36200000000000004	0.44299999999999995	84.085	audio_features	spotify:track:7617XYtHZvlJPEwWsx4QoX	https://api.spotify.com/v1/tracks/7617XYtHZvlJPEwWsx4QoX	https://api.spotify.com/v1/audio-analysis/7617XYtHZvlJPEwWsx4QoX	187200.0	4.0
2020-04-20 20:30	Sugarcult	Do It Alone	184436	7617XYtHZvlJPEwWsx4QoX	0.423	0.917	1.0	-4.1339999999999995	1.0	0.04	2.35e-05	4.35e-05	0.36200000000000004	0.44299999999999995	84.085	audio_features	spotify:track:7617XYtHZvlJPEwWsx4QoX	https://api.spotify.com/v1/tracks/7617XYtHZvlJPEwWsx4QoX	https://api.spotify.com/v1/audio-analysis/7617XYtHZvlJPEwWsx4QoX	187200.0	4.0
2020-04-20 20:32	Waterparks	I Miss Having Sex But At Least I Don't Wanna Die Anymore	133351	2Rmw7J0krEU75ffhkaK93D	0.5820000000000001	0.81	5.0	-4.104	0.0	0.106	0.0763	0.0	0.35100000000000003	0.8740000000000001	73.954	audio_features	spotify:track:2Rmw7J0krEU75ffhkaK93D	https://api.spotify.com/v1/tracks/2Rmw7J0krEU75ffhkaK93D	https://api.spotify.com/v1/audio-analysis/2Rmw7J0krEU75ffhkaK93D	133352.0	4.0
2020-04-20 20:36	The Cab	Intoxicated	248080	0dbQ4h3cs8QE5fOPMYdDrX	0.792	0.688	0.0	-4.008	1.0	0.0386	0.00435	0.00477	0.0972	0.502	124.98700000000001	audio_features	spotify:track:0dbQ4h3cs8QE5fOPMYdDrX	https://api.spotify.com/v1/tracks/0dbQ4h3cs8QE5fOPMYdDrX	https://api.spotify.com/v1/audio-analysis/0dbQ4h3cs8QE5fOPMYdDrX	159560.0	4.0
2020-04-20 20:39	The Academy Is...	Attention	173313	5cF0dROlMOK5uNZtivgu50	0.775	0.613	3.0	-4.586	0.0	0.0542	0.109	2.33e-05	0.134	0.797	100.066	audio_features	spotify:track:5cF0dROlMOK5uNZtivgu50	https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50	https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50	208787.0	4.0
2020-04-20 20:41	Hello Goodbye	From Fashion to Failure	136610	3sSlpyP7evT4g7IeDEMT3F	0.389	0.542	0.0	-4.577	1.0	0.0304	0.0432	0.0071	0.0988	0.102	136.423	audio_features	spotify:track:3sSlpyP7evT4g7IeDEMT3F	https://api.spotify.com/v1/tracks/3sSlpyP7evT4g7IeDEMT3F	https://api.spotify.com/v1/audio-analysis/3sSlpyP7evT4g7IeDEMT3F	167811.0	3.0
2020-04-20 20:46	Mayday Parade	Miserable At Best	316986	1ONoPkp5XIuw3tZ1GzrNKZ	0.489	0.364	2.0	-10.672	1.0	0.03	0.5720000000000001	0.0	0.10800000000000001	0.377	135.352	audio_features	spotify:track:1ONoPkp5XIuw3tZ1GzrNKZ	https://api.spotify.com/v1/tracks/1ONoPkp5XIuw3tZ1GzrNKZ	https://api.spotify.com/v1/audio-analysis/1ONoPkp5XIuw3tZ1GzrNKZ	316987.0	4.0
2020-04-20 20:53	The Red Jumpsuit Apparatus	Face Down	5600	4wzjNqjKAKDU82e8uMhzmr	0.545	0.932	7.0	-2.189	0.0	0.0399	0.000665	0.0	0.127	0.46399999999999997	92.956	audio_features	spotify:track:4wzjNqjKAKDU82e8uMhzmr	https://api.spotify.com/v1/tracks/4wzjNqjKAKDU82e8uMhzmr	https://api.spotify.com/v1/audio-analysis/4wzjNqjKAKDU82e8uMhzmr	192000.0	4.0
2020-04-20 20:53	Anarbor	Freaking out!	154524	25SJaCCPiosugnlY53VhRG	0.565	0.8320000000000001	8.0	-5.751	0.0	0.10800000000000001	0.0639	0.0291	0.386	0.847	143.30200000000002	audio_features	spotify:track:25SJaCCPiosugnlY53VhRG	https://api.spotify.com/v1/tracks/25SJaCCPiosugnlY53VhRG	https://api.spotify.com/v1/audio-analysis/25SJaCCPiosugnlY53VhRG	173889.0	4.0
2020-04-20 20:53	Smallpools	Stumblin' Home	1141	01oyRIMjNlMSN00ETiVduQ	0.672	0.836	11.0	-3.9589999999999996	1.0	0.071	0.0793	0.000379	0.0891	0.7809999999999999	104.068	audio_features	spotify:track:01oyRIMjNlMSN00ETiVduQ	https://api.spotify.com/v1/tracks/01oyRIMjNlMSN00ETiVduQ	https://api.spotify.com/v1/audio-analysis/01oyRIMjNlMSN00ETiVduQ	179857.0	4.0
2020-04-20 20:53	Sum 41	In Too Deep	1898	1HNE2PX70ztbEl6MLxrpNL	0.568	0.8440000000000001	9.0	-5.875	1.0	0.0505	0.00018899999999999999	0.0	0.0607	0.7659999999999999	116.046	audio_features	spotify:track:1HNE2PX70ztbEl6MLxrpNL	https://api.spotify.com/v1/tracks/1HNE2PX70ztbEl6MLxrpNL	https://api.spotify.com/v1/audio-analysis/1HNE2PX70ztbEl6MLxrpNL	207093.0	4.0
2020-04-20 20:53	Barns Courtney	You And I	1162	7aohwSiTDju51QmC54AUba	0.698	0.285	0.0	-7.632000000000001	1.0	0.0553	0.927	0.0	0.0883	0.53	135.02700000000002	audio_features	spotify:track:7aohwSiTDju51QmC54AUba	https://api.spotify.com/v1/tracks/7aohwSiTDju51QmC54AUba	https://api.spotify.com/v1/audio-analysis/7aohwSiTDju51QmC54AUba	148400.0	4.0
